,Proposal Number,Publication
235,OR110196P1,"Jeong SI, Burns NA, Bonino CA, et al.  2014.  Improved cell infiltration of highly porous 3D nanofibrous scaffolds formed by combined fiber-fiber charge repulsions and ultrasonication.  J Mater Chem B Mater Biol Med 2(46):8116-8122."
236,OR110196P1,"Nguyen K, Jeon O, Krebs MD, et al.  2014.  Sustained localized presentation of RNA interfering molecules from in situ forming hydrogels to guide stem cell osteogenic differentiation.  Biomaterials 35(24):6278-6286."
237,OR110196P1,"Nguyen K, and Alsberg E.  2014.  Bioactive factor delivery strategies from engineered polymer hydrogels for therapeutic medicine.  Prog Polymer Sci 39(7):1236-1265."
238,OR110196P1,"Cong CT, Nguyen MK, Tonga GY, et al.  2016.  Photocleavable hydrogels for light-triggered siRNA release.  Adv Healthc Mater 5(3):305-310."
239,OR120033,"Saeman MR, DeSpain K, Liu M-M, et al.  2015.  Effects of exercise on soleus in severe burn and muscle disuse atrophy.  J Surg Res 198(1):19-26."
240,OR120033,"Saeman MR, DeSpain K, Liu MM, et al. Effects of exercise on soleus in severe burn and muscle disuse atrophy. The Journal of surgical research. 2015 Sep; 198(1): 19-26. https://doi.org/10.1016/j.jss.2015.05.038 PMID:26104324"
241,OR120033,"Hernandez P, Buller D, Mitchell T, et al. Severe Burn-Induced Inflammation and Remodeling of Achilles Tendon in a Rat Model. Shock (Augusta, Ga.). 2018 Sep; 50(3): 346-350. https://doi.org/10.1097/SHK.0000000000001037 PMID:29065066"
242,OR120033,"Song J, Saeman MR, Baer LA,et al. 2017. Exercise Altered the Skeletal Muscle MicroRNAs and Gene Expression Profiles in Burn Rats With Hindlimb Unloading. J Burn Care Res. 38(1): 11-19."
243,OR120033P1,"Saeman MR, DeSpain K, Liu MM, et al.  Effects of exercise on soleus in severe burn and muscle disuse atrophy.  J Orthop Surg Res 198:19-26."
244,OR120042,"Twiss JL, and Fainzilber M.  2016.  Neuroproteomics: How many angels can be identified in an extract from the head of a pin?  Mol Cell Proteomics 15:341-343."
245,OR120042,"Twiss JL, Kalinski AL, Sachdeva R, et al.  2016.  Intra-axonal protein synthesis - a new target for neural repair?  Neural Regen Res 11:1365-1367."
246,OR120042,"Ben-Tov Perry R, Rishal I, Doron-Mandel E, et al.  2016.  Nucleolin-mediated RNA localization for neuron growth and cell size regulation.  Cell Reports 16:1664-1676."
247,OR120042,"Gardiner AS, Twiss JL, and Perrone-Bizzozero NI.  2015.  Competing interactions of RNAbinding proteins, microRNAs, and their targets control mRNA stability, transport and translation during neuronal development and function.  Biomolecules 5(4):2903-2918."
248,OR120042,"Twiss JL, and Merianda TT.  2015.  Old dogs with new tricks - Intra-axonal translation of nuclear proteins.  Neural Regen Res 10(10):1560-1562."
249,OR120042,"Kalinski AL, HinesT, Smith DS, et al.  Neuronal transport and spatial signaling mechanisms in neural repair. In: Encyclopedia of Cell Biology, (Bradshaw R, and Stahl P, Eds.).  Elsevier Press. (ISBN 9780123944474)."
250,OR120042,"Doron-Mandel E, Alber S, Oses JA, et al.  2016.  Isolation and analyses of axonal ribonucleoprotein complexes.  Methods Cell Biol 131:467-86."
251,OR120055,"Pongkitwitoon S, et al.  2016.  Low-intensity vibrations accelerate proliferation and alter macrophage phenotype in vitro.  J Biomechanics 49(5):793-796."
252,OR120056,"Pacifici M and Shore EM. 2016. Common mutations in ALK2/ACVR1, a multifaceted receptor, have roles in distinct pediatric musculoskeletal and neural orphan disorders. Cytokine Growth Factor Rev. 27: 93-104. doi: 10.1016/j.cytogfr.2015.12.007."
253,OR120056,"Sinha S, Uchibe K, Usami Y, et al.  2016. Effectiveness and mode of action of a combination therapy for heterotopic ossification with a retinoid agonist and an anti-inflammatory agent.  Bone 90:59-68."
254,OR120056,"Pavey GJ, Qureshi AT, Tomasino AM, et al. 2016. Targeted stimulation of retinoic acid receptor-¿ mitigates the formation of heterotopic ossification in an established blast-related traumatic injury model. Bone 90: 159-67. doi: 10.1016/j.bone.2016.06.014."
255,OR120056P1,"Qureshi AT, Crump EK, Pavey GJ, et al.  2015.  Early characterization of blast-related heterotopic ossification in a rat model.  Clinical Orthopaedics and Related Res 473:2831-2839."
256,OR120056P1,"Pavey GJ, Qureshi AT, Hope DN, et al.  2015.  Bioburden Increases Heterotopic Ossification Formation in an Established rat model.  Clnical Orthopaedics and Related Res 473:2840-2847."
257,OR120056P1,"Alfieri KA, Potter BK, Davis TA, et al.  2015.  Early Risk stratification for heterotopic ossification formation in combat casualties.  Clinical Orthopaedics and Related Res 473:2807-2813."
258,OR120056P1,"Pavey GJ, Qureshi AT, Tomasino AM, et al.  2016.  Targeted stimulation of retinoic acid receptor-y mitigates the formation of heterotopic ossification in an established blast-related traumatic injury model.  Bone 90:159-167."
259,OR120080,"Davis KM, Griffin KS, Chu T-MG, et al.  2015.  Muscle-bone interactions during fracture healing.  J Musculoskelet Neuronal Interact 15:1-9."
260,OR120080,"Griffin KS, Davis KM, McKinley TO, et al.  2015.  Evolution of bone grafting: Bone grafts and tissue engineering strategies for vascularized bone regeneration.  Clin Rev Bone Mineral Metab 13:232-244."
261,OR120080,"Jewell E, Rytlewski J, Anglen JO, et al.  2015.  Surgical fixation hardware for regeneration of long bone segmental defects: Translating large animal model and human experiences.  Clin Rev Bone Mineral Metab13:222-231."
262,OR120080P1,"Davis KM, Griffin KS, Chu T-MG, et al.  2015.  Muscle-bone interactions during fracture healing.  J Musculoskelet Neuronal Interact 15:1-9."
263,OR120080P2,"Davis KM, Griffin KS, Chu T-MG, et al.  2015.  Muscle-bone interactions during fracture healing.  J Musculoskelet Neuronal Interact 15:1-9."
264,OR120114,"Chen Y, Fang Q, Wang Z, et al.  2016.  TRPV4 ion channel functions as a pruriceptor in epidermal keratinocytes to evoke histaminergic itch.  J Biol Chem 291:10252-10262."
265,OR120114,"Kanju P, Chen Y, Lee W, et al.  2016.  Small molecule dual-inhibitors of TRPV4 and TRPA1 for attenuation of inflammation and pain.  Sci Rep 6:26894."
266,OR120140,"James R, Nagarale RK, Sachan V, et al.  2014.  Synthesis and characterization of electrically conducting polymers for regenerative engineering applications:  Sulfonated ionic membranes. Polym Adv Tech 25:1439-1445."
267,OR120140,"Bhattacharya P, Nagarale RK, Sachan V, et al.  2014.  Development of redox-conducting polymer electrodes for non-gassing electro-osmotic pumps:  A novel approach.  J Electrochem Soc 161 (13):H3029-H3034."
268,OR120140,"Shah M, Chang W and Yu X.  2014.  Evaluating nerve guidance conduits for peripheral nerve injuries: a novel normalization method.  Neural Regen Res 9(22):1959-1960."
269,OR120140,"Anderson M, Shelke NB, Manoukian OS, Yu X, et al.  2015.  Peripheral nerve regeneration strategies: Electrically stimulating polymer based nerve growth conduits, critical reviews¿.  Biomed Engineer J 43(2-3)131-159."
270,OR120140,"Shelke NB, Anderson M, Idrees SM, et al.  2015.  Polyester nano-and micro-technologies for tissue engineering.  In:  Handbook of Polyester Drug Delivery Systems (MNV Ravikumar, Ed.).  Pan Stanford Publishing."
271,OR120140,"Ramos DM, Peach MS, Mazzocca AD, et al.  2015.  Tendon tissue engineering.  In:  Regenerative Engineering Musculoskeletal Tissues and Interfaces (Nukavarapu S, Freeman J, and Laurencin C, Eds.).  Woodhead Publishing Series in Biomaterials: Number 98/Elsevier, New York."
272,OR120140,"Jaiswal D, James R, Shelke NB, et al.  2015.  Gelatin nanofiber matrices derived from schiff base derivative for tissue engineering applications.  J Biomed Nanotechnol 11:1-14."
273,OR120140,"Shelke NB, James R, Laurencin CT et al.  2014.  Polysaccharide biomaterials for drug delivery and regenerative engineering. Polym Adv Tech 25(5):448-460."
274,OR120140,"Harmon JR, Kumbar SG, and Laurencin CT.  2014.  Innovative regenerative engineering technologies for soft tissue regeneration.  Technology and Innovation 16 (3-4):195-214."
275,OR120140,"Nada AA, James R, Shelke NB et al.  2014.  Smart methodology to fabricate electrospun chitosan nanonfiber matrices for regenerative engineering applications. Polym Adv Tech 25(5):507-515."
276,OR120161,"u L, Gonzalez S, Shah S, et al.  2013.  Extracellular matrix domain formation as an indicator of chondrocyte dedifferentiation and hypertrophy.  Tissue Engineering Part C. 20(2):160-168."
277,OR120161,"Richardson W, Wu L, Dunn B, et all.  2015.  Ensemble multivariate analysis to improve identification of articular cartilage disease in noisy Raman spectra.  J Biophotonics  8(7):555-566."
278,OR120161,"Wu L, Petrigliano FA, Bogdanov J, et al.  2015.  Lysophosphatidic acid mediates fibrosis in injured joints by regulating collagen type 1 biosynthesis.  Osteoarthritis and Cartilage 23(2):308-318."
279,OR120161,"Wu L, Zhang S, Shkhuan R, et al.  2017.  Kappa opioid receptor signaling protects cartilage tissue against posttraumatic degeneration.  JCI Insight 2(1):e88553."
280,OR120161,"Wu L, Latour B, Gonzalez S, et al.  2013.  Human developmental chondrogenesis as a basis for the engineering of chondrocytes from pluripotent stem cells.  Stem Cell Reports 2;1(6):575-589."
281,OR120161,"Evseenko D, Latour B, Richardson W, et al.  2013.  Lysophosphatidic Acid Mediates Myeloid Differentiation within the Human Bone Marrow Microenvironment. PLOS ONE 16;8(5):e63718."
282,OR120163,"Forsberg JA, Davis TA, Elster EA, et al.  2014.  Burned to the Bone.  Sci Transl Med 6:255fs37."
283,OR120163,"Martin EC, Qureshi AT, Dasa V, et al.  2016.  MicroRNA regulation of stem cell differentiation and diseases of the bone and adipose tissue:  Perspectives on miRNA biogenesis and cellular transcriptome.  Biochimie 124:98-111."
284,OR120163,"Martin EC, Qureshi AT, Llamas CB, et al. 2018. Trauma Induced Heterotopic Ossification Patient Serum alters Mitogen Activated Protein Kinase Signaling in Adipose Stem Cells. J Cell Physiol. 233(9): 7035-7044. doi: 10.1002/jcp.26504."
285,OR120163,"Martin EC, Qureshi AT, Dasa V, et al. 2016. MicroRNA regulation of stem cell differentiation and diseases of the bone and adipose tissue: Perspectives on miRNA biogenesis and cellular transcriptome. Biochimie. 124: 98-111. doi: 10.1016/j.biochi.2015.02.012."
286,OR120163,"Hodges WM, O'Brien F, Fulzele S, et al. 2017. Function of microRNAs in the Osteogenic Differentiation and Therapeutic Application of Adipose-Derived Stem Cells (ASCs). Int J Mol Sci. 18(12): 2597. doi: 10.3390/ijms18122597."
287,OR120163,"Martin EC, Qureshi AT, Llamas CB, et al. 2018. Mirna biogenesis pathway is differentially regulated during adipose derived stromal/stem cell differentiation. Adipocyte. 7: 1-10. doi: 10.1080/21623945.2018.1423911."
288,OR120168,"Alvarez-Urena P, Davis EL, Sonnet C, et al.  2017.  Encapsulation of adenovirus BMP2-transduced cells with PEG-Da hydrogels allows bone formation in the presence of immune response. Tissue Eng Part A 23(5-6):177-184."
289,OR120168,"Olmsted-Davis EA, Salisbury EA, Hoang D, et al.  2017.  Progenitors in peripheral nerves launch heterotopic ossification.  Stem Cells Transl Med 6(4):1109-1119."
290,OR120168,"Lazard ZW, Olmsted-Davis EA, Salisbury EA, et al.  2015.  Osteoblasts have a neural origin in heterotopic ossification.  Clin Orthop Relat Res 473(9):2790-2806."
291,OR120168,"Davis EL, Sonnet C, Lazard ZW, et al.  2016.  Location-dependent heterotopic ossification in a rat model: The role for matrix metalloproteinase 9.  J Orthop Res 34(11):1894-1904."
292,OR120192,"Glatt V, Tepic S and Evans C. 2016. Reverse dynamization: A novel approach to bone healing. J Am Acad Orthop Surg. 24(7): e60-1. doi: 10.5435/JAAOS-D-16-00239."
293,OR120205,"Steplewski A, Fertala J, Beredjiklian PK, et al.  2016.  Auxiliary proteins that facilitate formation of collagen-rich deposits in the posterior knee capsule in a rabbit-based joint contracture model.  J Orthop Res 34(3):489-501."
294,OR120205P1,"Steplewski A, Fertala J, Beredjiklian PK, et al.  2016.  Auxiliary proteins that facilitate formation of collagen-rich deposits in the posterior knee capsule in a rabbit-based joint contracture model.  J Orthop Res 34(3):489-501."
295,OR120205P2,"Steplewski A, Fertala J, Beredjiklian PK, et al.  2016.  Auxiliary proteins that facilitate formation of collagen-rich deposits in the posterior knee capsule in a rabbit-based joint contracture model.  J Orthop Res 34(3):489-501."
296,OR120216,"Bamba R, Riley DC, Kelm ND, et al.  2016.  A novel technique using hydrophilic polymers to promote axonal fusion.  Neural Regen Res 11(4):525-528."
297,OR120216,Bamba R et al.  2016.  A novel therapy to promote axonal fusion in human digital nerves.  J Trauma Acute Care Surg 81(5):S177-S183.
298,OR120216,"Boyer RB, Kelm ND, Riley DC.  2015.  4.7-T diffusion tensor imaging of acute traumatic peripheral nerve injury.  Neurosurg Focus 39(3):E9."
299,OR120216,"Riley DC, Bittner GD, Mikesh MA, et al.  2015.  PEG-fused allografts produce rapid behavioral recovery after ablating sciatic nerve segments.  J Neuroscience Res 93(4):572-583."
300,OR120216,"Boyer RB, Sexton KW, Rodriguez-Feo CL, et al.  2015.  Adjuvant neurotrophic factors with CSPG-reduced acellular nerve grafts.  J Surgical Res 193(2):969-977."
301,OR120216P1,"Riley DC, Bittner GD, Mikesh MA, et al.  2015.  PEG-fused allografts produce rapid behavioral recovery after ablating sciatic nerve segments.  J Neuroscience Res 93(4):572-583."
302,OR120216P1,"Boyer RB, Sexton KW, Rodriguez-Feo CL, et al.  2015.  Adjuvant neurotrophic factors with CSPG-reduced acellular nerve grafts.  J Surgical Res 193(2):969-977."
303,OR120216P1,"Boyer RB, Kelm ND, Riley DC.  2015.  4.7-T diffusion tensor imaging of acute traumatic peripheral nerve injury.  Neurosurg Focus 39(3):E9."
304,OR120216P1,"Bamba R, Riley DC, Kelm ND, et al.  2016.  A novel technique using hydrophilic polymers to promote axonal fusion.  Neural Regen Res 11(4):525-528."
305,OR120216P1,Bamba R et al.  2016.  A novel therapy to promote axonal fusion in human digital nerves.  J Trauma Acute Care Surg 81(5):S177-S183.
306,OR130080,"Kuiken TA, Bennet A. et al.  2017.  Novel intramedullary device for lengthening transfemoral residual limbs.  J Orthop Surg Res 12(1):53."
307,OR130150,"Highsmith MJ, Goff LM, Lewandowski AL, Farrokhi S, Hendershot BD, Hill OT, Rábago CA, Russell-Esposito E, Orriola JJ, Mayer JM. Low back pain in persons with lower extremity amputation: a systematic review of the literature. Spine J. 2019 Mar;19(3):552-563. doi: 10.1016/j.spinee.2018.08.011. Epub 2018 Aug 24. Review. PubMed PMID: 30149083."
308,OR130167,"H. Huang, F. Farahanipad and A. K. Singh, 'A Stacked Dual-Frequency Microstrip Patch Antenna for Simultaneous Shear and Pressure Displacement Sensing,' in IEEE Sensors Journal, vol. 17, no. 24, pp. 8314-8323, Dec.15, 2017."
309,OR130191,"Fowler TW, Acevedo C, Mazur CM, et al. 2017. Glucocorticoid suppression of osteocyte perilacunar remodeling is associated with subchondral bone degeneration in osteonecrosis. Sci Rep. 7. doi: 10.1038/srep44618."
310,OR130191,"Dole NS, Mazur CA, Acevedo C, et al. 2017. Osteocyte intrinsic TGFb signaling regulates bone quality through perilacunar remodeling. Cell Reports. 21(9): 2585-2596. doi: 10.1016/j.celrep.2017.10.115."
311,OR130191,"Rys JP, Monteiro DA and Alliston T. 2016. Mechanobiology of TGFß signaling in the skeleton. Matrix Biol. 52-54: 413-425. doi: 10.1016/j.matbio.2016.02.002."
312,OR130206,"Li S, Cong W, Hakamivala A, et al. 2018. Hyaluronic Acid-Based Optical Probe for the Diagnosis of Human Osteoarthritic Cartilage. Nanotheranostics 2018; 2(4): 347-359. doi:10.7150/ntno.26119."
313,OR130239,"Atluri K, De Jesus AM, Chinnathambi S, et al.  2016.  Blebbistatin-Loaded Poly(D,L-lactide-co-glycolide) particles for treating arthrofibrosis.  ACS Biomaterials Science and Engineering. 2:1097-1107."
314,OR130260,"Klute GK, Bates KJ, Berge JS, et al.  2016.  Prosthesis management of residual-limb perspiration with subatmospheric vacuum pressure.  J Rehabil Res Dev 53(6):721-728."
315,OR130296,"Sun AX, Lin H, Beck AM, et al.  2015.  Projection stereolithographic fabrication of human adipose stem cell-incorporated biodegradable scaffolds for cartilage tissue engineering.  Front Bioeng Biotechnol 3:115."
316,OR130296,"Jiang Y, Hu C, Yu S, et al. 2015. Cartilage stem/progenitorcells are activated in osteoarthritis via interleukin-1ß/nerve growth factor signaling. ArthritisRes Ther. 17: 327. doi: 10.1186/s13075-015-0840-x."
317,OR130302,"Beavers KR, Werfel TA, Shen T, et al. 2016.  Porous silicon and polymer nanocomposites for delivery of peptide nucleic acids as Anti-MicroRNA therapies.  Adv. Mater. 28:7984-7992."
318,OR130302,"Jackson MA, Bedingfield SK, Yu F, et al. Dual carrier-cargo hydrophobization and charge ratio optimization improve the systemic circulation and safety of zwitterionic nano-polyplexes. Biomaterials. 2019 Feb; 192: 245-259. https://doi.org/10.1016/j.biomaterials.2018.11.010 PMID:30458360"
319,OR130302,"O’Grady KP,  Kavanaugh TE,  Cho H,  et al. 2017. Drug Free ROS Sponge Polymeric Microspheres Reduce Tissue Damage from Ischemic and Mechanical Injury. ACS Biomaterials Science & Engineering, 2017. doi:10.1021/acsbiomaterials.6b00804, Publication Date (Web): April 6, 2017."
320,OR130302,"Jackson, M. A., Werfel, T. A., Curvino, E. J., Yu, F., Kavanaugh, T. E., Sarett, S. M., . . . Duvall, C. L. (2017). Zwitterionic nanocarrier surface chemistry improves sirna tumor delivery and silencing activity relative to polyethylene glycol. ACS Nano. doi:10.1021/acsnano.7b01110"
321,OR130378,"Singh A, Corvelli M, Unterman S, et al.  2014.  Enhanced lubrication on tissue and biomaterial surfaces through peptide-mediated binding of hyaluronic acid.  Nature Mater 13(10):988-995."
322,OR130378,"Faust HJ, Sommerfeld SD, Rathod S, et al. 2018. A hyaluronic acid binding peptide-polymer system for treating osteoarthritis. Biomaterials 183: 93-101. doi: 10.1016/j.biomaterials.2018.08.045."
323,OR140141,"Patel S, Gualitieri AP, Lu HH, et al.  2016.  Approaches in biologic augmentation for rotator cuff repair.  NY Academy Sciences 1383(1):97-114."
324,OR140146,"Lynch AD, Chmielewski T, Bailey L, et al. June 2017. Current Concepts and Controversies in Rehabilitation after Surgery for Multiple Ligament Knee Injury. Curr Rev Musculoskelet Med. 2017 Sep; 10(3): 328–345. doi: 10.1007/s12178-017-9425-4. PMID: 28779476 PMCID: PMC5577426."
325,OR140147,"Pan L, Crouch DL, Huang H, et al. 2018. Myoelectric Control Based on A Generic Musculoskeletal Model: Towards A Multi-User Neural-Machine Interface. IEEE Trans Neural Syst Rehabil Eng. 26(7): 1435-1442. doi: 10.1109/TNSRE.2018.2838448."
326,OR140148,"Stoker AM, Stannard JP, Cook JL. Chondrocyte Viability at Time of Transplantation for Osteochondral Allografts Preserved by the Missouri Osteochondral Preservation System versus Standard Tissue Bank Protocol. The journal of knee surgery. 2018. 31(8): 772-780. https://doi.org/10.1055/s-0037-1608947 PMID:29228404"
327,OR140148,"Oladeji LO, Cook JL, Stannard JP, et al. Large fresh osteochondral allografts for the hip: growing the evidence. Hip international : the journal of clinical and experimental research on hip pathology and therapy. 2018. 28(3): 284-290. https://doi.org/10.5301/hipint.5000568 PMID:29048690"
328,OR140148,"Stoker AM, Baumann CA, Stannard JP, et al. Bone Marrow Aspirate Concentrate versus Platelet Rich Plasma to Enhance Osseous Integration Potential for Osteochondral Allografts. The journal of knee surgery. 2018. 31(4): 314-320. https://doi.org/10.1055/s-0037-1603800 PMID:28646824"
329,OR140148,"Stoker AM, Stannard JP, Kuroki K, et al. Validation of the Missouri Osteochondral Allograft Preservation System for the Maintenance of Osteochondral Allograft Quality During Prolonged Storage. The American journal of sports medicine. 2018. 46(1): 58-65. https://doi.org/10.1177/0363546517727516 PMID:28937783"
330,OR140148,"Kuroki K, Stoker AM, Stannard JP, et al. Biologic Joint Repair Strategies: The Mizzou BioJoint Story. Toxicologic pathology. 2017. 45(7): 931-938. https://doi.org/10.1177/0192623317735786 PMID:29020891"
331,OR140356,"Albayati ZAF, Sunkara M, Schimdt-Malan SM, et al.  2015.  Use of a novel bone-targeting agent for the enhanced delivery of vancomycin to bone.  Antimicrobial Agents and Chemotherapy 60:1865-1868."
332,OR140356,"Meeker DG, Loughran AJ, Beenken KE, et al.  2016.  Evaluation of antibiotics effective against methicillin-resistant Staphylococcus aureus based on efficacy in the context of an established biofilm.  Antimicrobial Agents and Chemotherapy 60:5688-5694."
333,OR140380,"Zhang H, Zhang T, You Z, eet al.  2015.  Positive surgical margin, HPV Persistence, and expression of both TPX2 and PD-L1 are associated with persistence/recurrence of cervical intraepithelial neoplasia after cervical conization.  PLoS One 10:e0142868."
334,OR140380,"Cunningham D, and You Y.  2015.  In vitro and in vivo model systems used in prostate cancer research.  J Biol Methods 2(1):e17."
335,OR140380,"Zhang Q, Liu S, Parajuli KR, et al.  2017.  Interleukin-17 promotes prostate cancer via MMP7-induced epithelial-to-mesenchymal transition.  Oncogene 36(5):687-699."
336,OR140380,"Chen Z, Mei J, Liu L, et al.  2016.  PDL1 expression is associated with advanced non-small cell lung cancer.  Oncol Lett 12:921-927."
337,OR140380,"Cunningham D, Parajuli KR, Zhang C, et al.  2016.  Monomethyl Auristatin E Phosphate inhibits human prostate cancer growth.  Prostate 76:1420-1430."
338,OR140380,"Yang S, Zhang Q, Liu S, et al.  2016.  PD-L1 and PD-L2 expression in mouse prostate cancer.  Am J Clin Exp Urol 4:1-8."
339,OR140380,"Mo Z, Liu J, Zhang Q, et al.  2016.  Expression of PD-1, PD-L1 and PD-L2 is associated with differentiation status and histological type of endometrial cancer.  Oncol Lett 12:944-950."
340,OR140380,"Qu Y, Zhang Q, Ma S, et al.  2016.  Interleukin-17A differentially induces inflammatory and metabolic gene expression in the adipose tissues of lean and obese mice.  Int J Mol Sci 17(4):522."
341,OR140380,"Parajuli KR, Zhang Q, Liu S, et al.  2016.  Aminomethylphosphonic acid inhibits growth and metastasis of human prostate cancer in an orthotopic xenograft mouse model.  Oncotarget 7:10616-10626."
342,OR140380,"Mei J, Xiao Z, Guo C, et al.  2016.  Prognostic impact of tumor-associated macrophage infiltration in non-small cell lung cancer: A systemic review and meta-analysis.  Oncotarget 7(23):34217-34228."
343,OR150031,"Davis EL, Davis AR, Gugala Z, Olmsted-Davis EA: Is heterotopic ossification getting nervous?: The role of the peripheral nervous system in heterotopic ossification. Bone 2017."
344,OR150031,"Salisbury EA, Dickerson AR, Davis TA, Forsberg JA, Davis AR, Olmsted-Davis EA: Characterization of Brown Adipose-Like Tissue in Trauma-Induced Heterotopic Ossification in Humans. Am J Pathol 2017, 187:2071-9."
345,OR150031,"Alvarez-Urena P, Davis E, Sonnet C, Henslee G, Gugala Z, Strecker EV, Linscheid LJ, Cuchiara M, West J, Davis A, Olmsted-Davis E: Encapsulation of Adenovirus BMP2-Transduced Cells with PEGDA Hydrogels Allows Bone Formation in the Presence of Immune Response. Tissue Eng Part A 2017, 23:177-84."
346,OR150031,"Olmsted-Davis EA, Salisbury EA, Hoang D, Davis EL, Lazard Z, Sonnet C, Davis TA, Forsberg JA, Davis AR: Progenitors in Peripheral Nerves Launch Heterotopic Ossification. Stem Cells Transl Med 2017, 6:1109-19."
347,OR150031,"Gugala Z, Olmsted-Davis EA, Xiong Y, et al. 2018. Trauma-Induced Heterotopic Ossification Regulates the Blood Nerve Barrier. Front Neurol. 9: 408. doi: 10.3389/fneur.2018.00408."
348,OR150080,"Qureshi AT, Dey D, Sanders EM, et al. 2017. Inhibition of mammalian target of rapamycin signaling with rapamycin prevents trauma-induced heterotopic ossification. Am J Pathol. 187(11): 2536-2545. doi: 10.1016/j.ajpath.2017.07.010."
349,OR150080,"Wheathley BM, Cilwa KE, Dey D, et al. 2017. Palovarotene inhibits connective tissue progenitor cell proliferation in a rat model of combat-related heterotopic ossification. J Orthop Res. 36(4): 1135-1144. doi: 10.1002/jor.23747."
350,OR150169,"Rink CL, Wernke MM, Powell HM, et al. 2017. Standardized Approach to Quantitatively Measure Residual Limb Skin Health in Individuals with Lower Limb Amputation. Adv Wound Care (New Rochelle). 6(7): 225-232. doi: 10.1089/wound.2017.0737."
351,OR150169,"Wernke MM, Schroeder RM, Haynes ML, et al. 2017. Progress Toward Optimizing Prosthetic Socket Fit and Suspension Using Elevated Vacuum to Promote Residual Limb Health. Adv Wound Care (New Rochelle). 6(7): 233-239. doi: 10.1089/wound.2016.0719."
352,OR160120,"Prost V, Olesnavage KM, Johnson WB, et al. 2018. Design and Testing of a Prosthetic Foot with Interchangeable Custom Springs for Evaluating Lower Leg Trajectory Error, an Optimization Metric for Prosthetic Feet. Journal of Mechanisms and Robotics 10(2): 021010. doi: 10.1115/1.4039342."
353,OR160120,Olesnavage KM and Winter AG. 2018. A Novel Framework for Quantitatively Connecting the Mechanical Design of Passive Prosthetic Feet to Lower Leg Trajectory. IEEE Trans Neural Syst Rehabil Eng. 26(8): 1544-1555. doi: 10.1109/TNSRE.2018.2848845.
354,OR160120,"Olesnavage KM, Prost V, Johnson WB, et al. 2018. Passive Prosthetic Foot Shape and Size Optimization Using Lower Leg Trajectory Error. J. Mech. Des. 140(10): 102302. doi:10.1115/1.4040779."
