"","Proposal Number","Publication"
"1","TS020006","Ess KC, Uhlmann EJ, Li W, et al.  2004.  Expression profiling in tuberous sclerosis complex (TSC) knockout mouse astrocytes to characterize human TSC brain pathology.  GLIA 46:28-40.

"
"2","TS020006","Zeng L, Ouyand Y, Vered G, et al. 2007. Abnormal glutamate homeostasis and impaired synaptic plasticity and learning in a mouse model of tuberous sclerosis complex. Neurobiol Dis 28:184-196"
"3","TS020006","Scheidenheim DK, Cresswell J, Haipek CA, et al.  2005.  Akt-dependent cell size regulation by the adhesion molecule on glia (AMOG) occurs independently of phosphotidylinositol 3-kinase and Rheb signaling.  Mol Cell Biol 25:3151-3162."
"4","TS020006","Ess KC, Kamp KA, Tu BP, et al.  2005.  Developmental origin of subependymal giant cell astrocytoma in tuberous sclerosis complex.  Neurology 64:1446-1449."
"5","TS020006","Jansen LA, Uhlmann EJ, Crino PB, et al.  2005.  Epileptogenesis and reduced inward rectifier potassium current in tuberous sclerosis complex-1 deficient astrocytes.  Epilepsia 46:1871-80."
"6","TS020006","Uhlmann EJ, Li W, Scheidenhelm D, et al.  2004.  Loss of tuberous sclerosis complex 1 (Tsc1) expression results in increased Rheb/S6K pathway signaling important for astrocyte cell size regulation.  GLIA 47:180-188."
"7","TS020015","·van Slegtenhorst M, Carr E, Stoyanova R, et al.  2004.  Tsc1+ and tsc2+ regulate arginine uptake and metabolism in Schizosaccharomyces pombe.  Journal of Biological Chemistry 279:12706-12713.   
"
"8","TS020021","van Slegtenhorst M, Carr E, Stoyanova R, et al.  2004.  Tsc1+ and tsc2+ regulate arginine uptake and metabolism in Schizosaccharomyces pombe.  Journal of Biological Chemistry 279:12706-12713."
"9","TS030004","Tavazoie SF, Alvarez VA, Ridenour DA, et al.  2005.  Regulation of neuronal morphology and function by the tumor suppressors Tscl and Tsc2.  Nat Neurosci 8(12):1727-1734."
"10","TS030008","Brugarolas J, Lei K, Hurley RL, et al.  2004.  Regulation of mTOR function in response to hypoxia by REDD1 and the TSC1/TSC2 tumor suppressor complex.  Genes Dev 18:2893-2904.

"
"11","TS030012","Goncharova EA, Goncharov DA, Noonan D, et al.  2004.  TSC2 modulates actin cytoskeleton and cell adhesion through TSC1-binding domain and Rac1 GTPase.  J Cell Biol 167:171-1182."
"12","TS030012","Goncharova EA, Goncharov DA, Spaits M, et al.  2006.  Modulation of cell migration and invasiveness by tumor suppressor TSC2 in lymphangioleiomyomatosis. Am J Respir Cell Mol Biol 34(4):473-480.

"
"13","TS030012","Goncharova EA, Goncharov DA, Spaits M, et al.  2006.  Abnormal growth of smooth muscle cells in lymphangioleiomyomatosis (LAM): Role for tumor suppressor TSC2.  Am J Respir Cell Mol Biol 34(5):561-572.

"
"14","TS030017","Bilanges B, Argonza-Barrett R, Kolesnichenko M, et al. 2007. Tuberous Sclerosis Complex Proteins 1 and 2 Control Serum-Dependent Translation in a TOP-Dependent and -Independent Manner. Mol Cell Biol 27:5746-5764."
"15","TS043006","Lacher MD, Pincheira RJ, Castro AF.2011.  Consequences of interrupted Rheb-to-AMPK feedback signaling in tuberous sclerosis complex and cancer. Small GTPases. (4):211-216."
"16","TS043006","Lacher MD, Pincheira R, Zhu Z, et al. 2010. Rheb activates AMPK and reduces p27Kip1 levels in Tsc2-null cells via mTORC1-independent mechanisms: implications for cell proliferation and tumorigenesis. Oncogene. 29(50): 6543-6556. doi: 10.1038/onc.2010.393."
"17","TS043009","NakaseY, Fukuda K, ChikashigeY, et al.  2006.  A defect in protein farnesylation suppresses a loss of Schizosaccharomyces pombe tsc2+, a homolog of the human gene predisposing tuberous sclerosis complex (TSC).  Genetics 173:569-578."
"18","TS043009","Murai T, Nakase Y, Fukuda K, et al.  2009.  Distinctive responses to nitrogen starvation in the dominant active mutants of the fission yeast Rheb GTPase.  Genetics 183(2):517-527."
"19","TS043013","D'Armiento J, Imai K, Chada K, et al.  2007.  Identification of the benign mesenchymal tumor gene, HMGA2, in lymphangiomyomatosis (LAM).  Cancer Res (67):1902-1909.

"
"20","TS043013","D'Armiento J, Shiomi T, Marks S, et al. 2016. Mesenchymal Tumorigenesis Driven by TSC2 Haploinsufficiency Requires HMGA2 and Is Independent of mTOR Pathway Activation. Cancer Res. 76(4): 844-854. doi: 10.1158/0008-5472.CAN-15-1287."
"21","TS043015","Urano J, Sato T, Matuso T, et al.  2007.  Point mutations in TOR confer Rheb-independent growth in fission yeast and nutrient-independent mTOR signaling in mammalian cells.  PNAS 104:3514-9."
"22","TS043017","Lamprecht MR, Sabatini DM, and Carpenter AE. 2007. CellProfiler: Free, versatile software for automated biological image analysis.  BioTechniques 42:71-5."
"23","TS043017","Lindquist RA., Ottina KA., Wheeler D., et al. 2011. Genome-scale RNAi on living-cell microarrays identifies novel regulators of Drosophila melanogaster TORC1-S6K pathway signaling. Genome Res 21(3):433-446."
"24","TS043017","Jones TR, Kang IH, Wheeler DB, Lindquist RA, Papallo A, Sabatini DM, Golland P, Carpenter AE.  2008.  CellProfiler Analyst: data exploration and analysis software for complex image-based screens.  BMC Bioinformatics. 9:482."
"25","TS043017","Carpenter AE, Jones TR, Lamprecht MR et al. 2006.  CellProfiler: image analysis software for identifying and quantifying cell phenotypes. Genome Biology, 7:R100."
"26","TS043017","Jones TR, Carpenter AE, Golland P, et al.  Methods for highcontent, high-throughput image-based cell screening.  MIAAB 2006 Workshop Proceedings.  Preprint available at www.cellprofiler.org/papers.htm"
"27","TS050003","Wang Y, Greenwood JS, Calcagnotto ME, et al. 2007. Neocortical hyperexcitability in a human case of tuberous sclerosis complex and mice lacking neuronal expression of TSC1. Ann Neurol. 61(2): 139-152. DOI: 10.1002/ana.21058."
"28","TS050008","Bissler JJ, Siroky BJ, Yin H.  2010.  Glomerulocystic kidney disease.  Pediatr Nephrol 25(10):2049-2056.
"
"29","TS050008","Northrup H, Krueger DA, and International Tuberous Sclerosis Complex Consensus Group.  2013.  Tuberous sclerosis complex diagnostic criteria update: Recommendations of the 2012 International Tuberous Sclerosis Complex Consensus Conference.  Pediatric Neurology 49(4):243-254."
"30","TS050008","Franz DN, Bissler JJ, and McCormack FX.  2010.  Tuberous sclerosis complex: Neurological, renal and pulmonary manifestations.  Neuropediatrics 41(5):199-208."
"31","TS050008","Dixon BP, Hulbert JC, Bissler JJ.  2011. Tuberous sclerosis complex renal disease.  Nephron Exp Nephrol 118(1):e15-20.




"
"32","TS050016","McNeill H, Craig G, and Bateman JM.  2008.  Regulation of neurogenesis and EGFR signalling by the insulin receptor/TOR pathway in Drosophila.  Genetics 179:843-53."
"33","TS050016","
Bateman JM and McNeill H.  2009.  Insulin/IGF signalling in neurogenesis.  Cell Mol Life Sci 63(15):1701-1705
"
"34","TS050021","Crino PB, Aronica E, Baltuch G, et al. 2010.  TSC gene inactivation in tuberous sclerosis complex.  Neurology 74(21):1716-23.

"
"35","TS050021","Tsai V, Parker WE, Orlova KA, et al. 2014. Fetal Brain mTOR Signaling Activation in Tuberous Sclerosis Complex. Cereb Cortex 24(2): 315-327. doi: 10.1093/cercor/bhs310."
"36","TS050021","Crino, PB. 2010.  The pathophysiology of tuberous sclerosis complex.  Epilepsia 51(Suppl. 1):27-29."
"37","TS050021","Parker WE, Orlova KA, Heuer GG, et al.   2011.  Enhanced epidermal growth factor, hepatocyte growth factor, and vascular endothelial growth factor expression in tuberous sclerosis complex.  Am J Pathol 178(1):296-305."
"38","TS050021","Marcotte L, Aronica E, Baybis M, et al. 2012.  Cytoarchitectural alterations are widespread in cerebral cortex in tuberous sclerosis complex.  Acta Neuropathol 123(5):685-693.

"
"39","TS050021","Orlova KA and Crino PB.  2010.  The tuberous sclerosis complex.  Ann N Y Acad Sci 1184:87-105."
"40","TS050021","Orlova KA, Tsai V, Baybis M, et al.  2010. Early progenitor cell marker expression distinguishes type II from type I focal cortical dysplasias.  J Neuropath Exp Neurol 69(8):850-863."
"41","TS050021","Boer K, Crino PB, Gorter JA, et al.  2009.  Gene expression analysis of tuberous sclerosis complex cortical tubers reveals increased expression of adhesion and inflammatory factors. Brain Pathol 20(4):704-719."
"42","TS050039","Emilie Vander Haar1, Seong-il Lee1, Sricharan Bandhakavi et al. 2007. Insulin signalling to mTOR mediated by the Akt/PKB substrate PRAS40.  Nat Cell Biol. 3:316-23."
"43","TS050044","Zou J, Zhou L, Du XX et al. 2011. Rheb1 is required for mTORC1 and myelination in postnatal brain development. Dev Cell. 20(1):97-108"
"44","TS050067","Yang Q, Inoki K, Iltenoue T, et al.  2006.  Identification of Sin1 as an essential TORC2 component required for complex formation and kinase activity.  Genes & Dev 20:2833-2847.

"
"45","TS050069","Lee CH, Inoki K, Karbowniczek M, et al. 2007. Constitutive mTOR Activation in TSC Mutants Sensitizes Cells to Energy Starvation and Genomic Damage via p53. EMBO J 26(23):4812-4823."
"46","TS050070","Bai X Ma D Liu A et al. 2007. Rheb Activates mTOR by Antagonizing Its Endogenous Inhibitor, FKBP38. Science. 318(5852); 977-980."
"47","TS060009","Dimitroff B, Howe K, Watson A, et al.  2012.  Diet and energy-sensing inputs affect TorC1-mediated axon misrouting but not TorC2-directed synapse growth in a Drosophila model of tuberous sclerosis.  PLoS One 7(2):e30722."
"48","TS060009","Knox S, Ge H, Dimitroff BD, et al. 2007. Mechanisms of TSC-mediated Control of Synapse Assembly and Axon Guidance. PLoS ONE 2(4). doi: 10.1371/journal.pone.0000375."
"49","TS060009","Lee HG, Zhao N, Campion BK, et al.  2013.  Akt regulates glutamate receptor trafficking and postsynaptic membrane elaboration at the Drosophila neuromuscular junction.  Dev Neurobiol 73(10):723-743."
"50","TS060023","Sancak Y, Peterson TR, Shaul YD, et al.  2008.  The rag GTPases bind raptor and mediate amino acid signaling to mTORC1.  Science 302(5882):1496-1501."
"51","TS060023","Bar-Peled L, Sabatini DM. 2014. Regulation of mTORC1 by amino acids. Trends Cell Biol. 24(7):400-6."
"52","TS060023","Hsu PP, Kang SA, Rameseder J, et al.  2011.  The mTOR-regulated phosphoproteome reveals a mechanism of mTORC1-mediated inhibition of growth factor signaling.  Science 332:1317-1322."
"53","TS060023","Sancak Y, Bar-Peled L, Zoncu R, et al.  2010.  Ragulator-rag complex targets mTORC1 to the lysosomal surface and is necessary for its activation by amino acids.  Cell 141(2):290-303."
"54","TS060023","Yip CK, Murata K, Walz T, et al.  2010.  Structure of the human mTOR complex I and its implications for rapamycin inhibition.  Mol Cell 38(5):768-774."
"55","TS060023","Fonslow BR, Kang SA, Gestaut DR, et al.  2010.  Native capillary isoelectric focusing for the separation of protein complex isoforms and subcomplexes.  Anal Chem 82(15):6643-6651."
"56","TS060023","Thoreen CC, Kang SA, Chang JW, et al.  2009.  An ATP-competitive mTOR inhibitor reveals rapamycin-insensitive functions of mTORC1.  J Biol Chem 284 (12):8023-8032."
"57","TS060030","Reith RM, Way S, McKenna J et al. 2011. Loss of tuberous sclerosis complex protein tuberin causes Purkinje cell degeneration. Neurobiol Dis. 43(1):113-22."
"58","TS060030","Reith RM, McKenna J, Wu H, et al. 2013. Loss of Tsc2 in Purkinje cells is associated with autistic-like behavior in a mouse model of tuberous sclerosis complex. Neurobiol Dis. 51: 93-103. doi: 10.1016/j.nbd.2012.10.014."
"59","TS060032","Li Y, Wang Y, Kim E, et al.  2007.  Bnip3 mediates the hypoxia-induced inhibition on mTOR by interacting with Rheb.  J Biol Chem 282:35803-13."
"60","TS060035","Bandhakavi S, Kim YM, Ro SH, et al.  2010.  Quantitative nuclear proteomics identifies mTOR regulation of DNA damage response.  Mol Cell Proteomics 9:403-414."
"61","TS060049","DiBella LM1, Park A, Sun Z. 2009.  Zebrafish Tsc1 reveals functional interactions between the cilium and the TOR pathway.  Hum Mol Genet 15;18(4):595-606."
"62","TS060052","Nellist M, Sancak O, Goebloed M, et al.  2008.  Functional characterisation of the TSC1-TSC2 complex to assess multiple TSC2 variants identified in single families affected by tuberous sclerosis complex.  BMC Med Genet 9:10, doi: 10.1186/1471-2350-9-10."
"63","TS060052","Hoogeveen-Westerveld M, Wentink M, van den Heuvel D, et al. 2011. Functional assessment of variants in the TSC1 and TSC2 genes identified in individuals with tuberous sclerosis complex. Hum Mutat. 32(4): 424-35. doi: 10.1002/humu.21451."
"64","TS060052","Hoogeveen-Westerveld M, Ekong R, Povey S, et al. 2012. Functional assessment of TSC1 missense variants identified in individuals with tuberous sclerosis complex. Hum Mutat. 33(3): 476-479. doi: 10.1002/humu.22007."
"65","TS060052","Hoogeveen-Westerveld M, Ekong R, Povey S, et al. 2013. Functional assessment of TSC2 variants identified in individuals with tuberous sclerosis complex. Hum Mutat. 34(1): 167-175. doi: 10.1002/humu.22202."
"66","TS060052","Hoogeveen-Westerveld M, Exalto C, Maat-Kievit A, et al.  2010.  Analysis of TSC1 truncations defines regions involved in TSC1 stability, aggregation and interaction.  Biochim Biophys Acta 1802(9):774-81."
"67","TS060052","Lugnier C, Majores M, Fassunke J, et al.  2009.  Hamartin variants that are frequent in focal dysplasias and cortical tubers have reduced tuberin binding and aberrant subcellular distribution in vitro.  J Neuropathol Exp Neurol 68:1136-1146."
"68","TS060052","Mozaffari M, Hoogeveen-Westerveld M, Kwiatkowski D, et al.  2009.  Identification of a region required for TSC1 stability by functional analysis of TSC1 missense mutations found in individuals with tuberous sclerosis complex.  BMC Med Genet 10:88."
"69","TS060052","Coevoets R, Arican S, Hoogeveen-Westerveld M, et al.  2009.  A reliable cell-based assay for testing unclassified TSC2 gene variants.  Eur J Hum Genet 17:301-310."
"70","TS060052","Nellist M, van den Heuvel D, Schluep D, et al.  2009.  Missense mutations to the TSC1 gene cause tuberous sclerosis complex.  Eur J Hum Genet 17:319-328."
"71","TS080004","Zavadil J, Ye H, Liu Z, et al.  2010.  Profiling and functional analyses of microRNAs and their target gene products in human uterine leiomyomas.  PLoS One 5(8):e12362."
"72","TS080004","Wei JJ, Wu X, Peng Y, et al. 2011.  Regulation of HMGA1 expression by microRNA-296 affects prostate cancer growth and invasion. Clin Cancer Res 17(6):1297-1305."
"73","TS080017","Xu L, Burke TR, Greenberg JP, et al.  2012.  Infrared imaging and optical coherence tomography reveal early-stage astrocytic hamartomas not detectable by fundoscopy.  Am J Ophthalmol 153(5):883-889.e2."
"74","TS080017","Yang J, Naumann MC, Tsai YT, et al.  2012.  Vigabatrin-induced retinal toxicity is partially mediated by signaling in rod and cone photoreceptors.  PloS One 7(8):e43889.

"
"75","TS080031","Kim J, and Guan K-L.  2011.  Amino acid signaling in mTOR activation.  Ann Rev Biochem 80:1001-1032."
"76","TS080031","Jewell JL, Kim YC, Russell RC, et al.  2015.  Differential regulation of mTORC1 by leucine and glutamie.  Science 347(6218):194-198."
"77","TS080031","Jewell JL, Russell RC, and Guan KL.  2013.  Amino acid signaling upstream of mTOR.  Nature Rev Mol Cell Biol 14:133-139."
"78","TS080031","Jewell JL, and Guan KL.  2013.  Nutrient signaling to mTOR and cell growth.  TIBS 38:233-242."
"79","TS080031","Li L, Kim E, Yuan H, et al.  2010.  Regulation of mTORC1 by the Rab and ARF GTPases.  J Biol Chem 285:19705-19709."
"80","TS080031","Li L and Guan K-L.  2009.  Amino acid signaling to TOR activation: Vam6 functioning as a Gtr1 GEF.  Mol Cell 35:543-545."
"81","TS080031","Kim E and Guan K-L.  2009.  RAG GTPases in nutrient-mediated TOR signaling pathway.  Cell Cycle 8:1014-1018."
"82","TS080031","Kang YJ, Lu M-K, and Guan K-L.  2011.  The TSC1 and TSC2 tumor suppressors are required for proper ER stress response and protect cells from ER stress-induced apoptosis.  Cell Death Differ 18:133-44."
"83","TS080031","Zheng M, Wang YH, Wu XN, et al.  2011.  Inactivation of Rheb by PRAK-mediated phosphorylation is essential for energy-depletion-induced suppression of mTORC1.  Nature Cell Biol 13:263-272."
"84","TS080031","Gong R, Li L, Liu Y, et al.  2011.  Crystal structure of Gtr1p-Gtr2p complex reveals new insights into the amino acid-induced TORC1 activation.  Genes Dev 25:1668-1673."
"85","TS080037","Mazhab-Jafari MT, Marshall CB, Smith M, et al.  2010.  Real-time NMR study of three small GTPases reveals that fluorescent 2'(3')-O-(Nmethylanthraniloyl)-tagged nucleotides alter hydrolysis and exchange kinetics.  J Biol Chem 19;285(8):5132-5136."
"86","TS080037","Marshall CB, Meiri D, Smith MJ, et al. 2012. Probing the GTPase cycle with real-time NMR: GAP and GEF activities in cell extracts. Methods. 57(4): 473-485. doi: 10.1016/j.ymeth.2012.06.014."
"87","TS080037","Mazhab-Jafari MT, Marshall CB, Ishiyama N, et al. 2012. An autoinhibited noncanonical mechanism of GTP hydrolysis by Rheb maintains mTORC1 homeostasis. Structure. 20(9): 1528-1539. doi: 10.1016/j.str.2012.06.013."
"88","TS080037","Marshall CB, Ho J, Buerger C, et al.  2009.  Characterization of the intrinsic and TSC2-GAP-regulated GTPase activity of Rheb by real-time NMR.  Sci Signal 27;2(55):ra3."
"89","TS080037","
Gasmi-Seabrook GM, Marshall CB, Cheung M, et al.  2010. Real-time NMR study of guanine nucleotide exchange and activation of RhoA by PDZ-RhoGEF.  J Biol Chem 19;285(8):5137-5145.
"
"90","TS080064","Darling TN, Pacheco-Rodriguez G, Gorio A, et al.  2010.  Lymphangioleiomyomatosis and TSC2-/- cells.  Lymphat Res Biol 8:59-69."
"91","TS080064","Seibert D, Hong C-H, Takeuchi F, et al.  2011.  Recognition of tuberous sclerosis in adult women: Delayed presentation with life-threatening consequences.  Ann Intern Med 154(12):806-813."
"92","TS080064","Li S, Thangapazham RL, Wang JA, et al.  2011.  Human TSC2-null fibroblast-like cells induce hair follicle neogenesis and hamartoma morphogenesis.  Nat Commun 2:235.

"
"93","TS080074","Yoshii A and Constantine-Paton M.  2010.  Postsynaptic BDNF-TrkB signaling in synapse maturation, plasticity, and disease.  Dev Neurobiol 70:304-322."
"94","TS080074","Zhao JP and Yoshii A. 2019. Hyperexcitability of the local cortical circuit in mouse models of tuberous sclerosis complex. Molecular brain 12(1):6. doi: 10.1186/s13041-019-0427-6"
"95","TS080074","Cox R, Calderon De Anda F, Mangoubi T, et al. 2018. Multiple Critical Periods for Rapamycin Treatment to Correct Structural Defects in Tsc-1-Suppressed Brain. Frontiers in molecular neuroscience 11: 409. doi: 10.3389/fnmol.2018.00409."
"96","TS093020","Sheth RA, Feldman AS, Paul E, et al. 2016. Sporadic versus Tuberous Sclerosis Complex-Associated Angiomyolipomas: Predictors for Long-Term Outcomes following Transcatheter Embolization. J Vasc Interv Radiol. 27(10): 1542-1549. doi: 10.1016/j.jvir.2016.05.029."
"97","TS093033","Auricchio N, Malinowska I, Shaw R, et al.  2012.  Therapeutic trial of metformin and bortezomib in a mouse model of tuberous sclerosis complex (TSC).  PLoS ONE 7(2):e31900.


"
"98","TS093033","Dibble CC, and Manning BD.  2013.  Signal integration by mTORC1 coordinates nutrient input with biosynthetic output.  Nat Cell Biol 15:555-564."
"99","TS093033","Ricoult SJH, and Manning BD.  2013.  The multifaceted role of mTOR in the control of lipid metabolism.  EMBO 14:242-251."
"100","TS093033","Zhang Y, Nicholatos J, Dreier JR, et al.  2014.  Coordinated regulation of protein synthesis and degradation by mTORC1.  Nature 513(7518):110-443."
"101","TS093040","Liu X and Ladias JAA.  2013.  Structural basis for the BRCA1 BRCT interaction with the proteins ATRIP and BAAT1.  Biochemistry 52:7618-7627."
"102","TS093049","Gan B, Lim C, Chu G, et al.  2010.  FoxOs enforce a progression checkpoint to constrain mTORC1-activated renal tumorigenesis.  Cancer Cell 18(5)472:484."
"103","TS093049","Xiao ZD, Han L, Lee H, et al. 2017. Energy stress-induced lncRNA FILNC1 represses c-Myc-mediated energy metabolism and inhibits renal tumor development. Nat Commun. 8(1): 783. doi: 10.1038/s41467-017-00902-z."
"104","TS093049","Zhang K, Li L, Qi Y, et al.  2012.  Endocrinology hepatic suppression of Foxo1 and Foxo3 causes hypoglycemia and hyperlipidemia in mice.  Endocrinology 153(2):631-646."
"105","TS093049","Lin A, Yao J, Zhuang L, et al.  2014.  FoxO-BNIP3 axis exerts a unique regulation of mTORC1 and cell survival under energy stress.  Oncogene 33(24):3183-3194."
"106","TS093049","Lin A, Piao H, Zhuang L, et al.  2014.  FoxO transcription factors promote AKT Ser473 phosphorylation and renal tumor growth in response to pharmacological inhibition of the P13K-AKT pathway.  Cancer Res 74(6):1682-1693."
"107","TS093049","Keniry M, Pires MM, Mense S, et al.  2013.  Survival factor NFIL3 restricts FOXO-induced gene expression in cancer.  Genes Dev 27(8):916-927."
"108","TS093052","Kim SH, Speirs CK, Solnica-Krezel L, et al.  2011.  Zebrafish model of tuberous sclerosis complex reveals cell-autonomous and non-cell-autonomous functions of mutant tuberin.  Dis Model Mech 4(2):255-267."
"109","TS093052","Kim SH, Kowalski ML, Carson RP, et al.  2013.  Heterozygous inactivation of tsc2 enhances tumorigenesis in p53 mutant zebrafish.  Dis Model Mech 6(4):925-933."
